hello,привет
goodbye,прощай
love,любовь
friend,друг
family,семья
beautiful,красивый
happy,счастливый
sad,грустный
peace,мир
war,война
smile,улыбка
cry,плакать
sun,солнце
moon,луна
star,звезда
ocean,океан
mountain,гора
river,река
forest,лес
city,город
country,страна
music,музыка
dance,танцевать
sing,петь
read,читать
write,писать
learn,учиться
teach,учить
eat,есть
drink,пить
sleep,спать
awake,бодрствовать
dream,мечтать
reality,реальность
fantasy,фантазия
science,наука
art,искусство
history,история
future,будущее
past,прошлое
present,настоящее
time,время
space,пространство
earth,земля
sky,небо
air,воздух
fire,огонь
water,вода
ice,лед
wind,ветер
rain,дождь
snow,снег
flower,цветок
tree,дерево
animal,животное
bird,птица
fish,рыба
insect,насекомое
elephant,слон
tiger,тигр
lion,лев
bear,медведь
dog,собака
cat,кошка
horse,лошадь
cow,корова
pig,свинья
chicken,курица
egg,яйцо
bread,хлеб
cheese,сыр
fruit,фрукт
vegetable,овощ
meat,мясо
rice,рис
pasta,паста
soup,суп
salad,салат
dessert,десерт
coffee,кофе
tea,чай
wine,вино
beer,пиво
water,вода
juice,сок
milk,молоко
sugar,сахар
salt,соль
pepper,перец
chocolate,шоколад
ice cream,мороженое
money,деньги
work,работа
play,играть
привет,hello
прощай,goodbye
любовь,love
друг,friend
семья,family
красивый,beautiful
счастливый,happy
грустный,sad
мир,peace
война,war
улыбка,smile
плакать,cry
солнце,sun
луна,moon
звезда,star
океан,ocean
гора,mountain
река,river
лес,forest
город,city
страна,country
музыка,music
танцевать,dance
петь,sing
читать,read
писать,write
учиться,learn
учить,teach
есть,eat
пить,drink
спать,sleep
бодрствовать,awake
мечтать,dream
реальность,reality
фантазия,fantasy
наука,science
искусство,art
история,history
будущее,future
прошлое,past
настоящее,present
время,time
пространство,space
земля,earth
небо,sky
воздух,air
огонь,fire
вода,water
лед,ice
ветер,wind
дождь,rain
снег,snow
цветок,flower
дерево,tree
животное,animal
птица,bird
рыба,fish
насекомое,insect
слон,elephant
тигр,tiger
лев,lion
медведь,bear
собака,dog
кошка,cat
лошадь,horse
корова,cow
свинья,pig
курица,chicken
яйцо,egg
хлеб,bread
сыр,cheese
фрукт,fruit
овощ,vegetable
мясо,meat
рис,rice
паста,pasta
суп,soup
салат,salad
десерт,dessert
кофе,coffee
чай,tea
вино,wine
пиво,beer
вода,water
сок,juice
молоко,milk
сахар,sugar
соль,salt
перец,pepper
шоколад,chocolate
мороженое,ice cream
деньги,money
работа,work
играть,play
