hello,привет
goodbye,прощай
love,любовь
friend,друг
family,семья
beautiful,красивый
happy,счастливый
sad,грустный
peace,мир
war,война
smile,улыбка
cry,плакать
sun,солнце
moon,луна
star,звезда
ocean,океан
mountain,гора
river,река
forest,лес
city,город
country,страна
music,музыка
dance,танцевать
sing,петь
read,читать
write,писать
learn,учиться
teach,учить
eat,есть
drink,пить
sleep,спать
awake,бодрствовать
dream,мечтать
reality,реальность
fantasy,фантазия
science,наука
art,искусство
history,история
future,будущее
past,прошлое
present,настоящее
time,время
space,пространство
earth,земля
sky,небо
air,воздух
fire,огонь
water,вода
ice,лед
wind,ветер
rain,дождь
snow,снег
flower,цветок
tree,дерево
animal,животное
bird,птица
fish,рыба
insect,насекомое
elephant,слон
tiger,тигр
lion,лев
bear,медведь
dog,собака
cat,кошка
horse,лошадь
cow,корова
pig,свинья
chicken,курица
egg,яйцо
bread,хлеб
cheese,сыр
fruit,фрукт
vegetable,овощ
meat,мясо
rice,рис
pasta,паста
soup,суп
salad,салат
dessert,десерт
coffee,кофе
tea,чай
wine,вино
beer,пиво
water,вода
juice,сок
milk,молоко
sugar,сахар
salt,соль
pepper,перец
chocolate,шоколад
ice cream,мороженое
money,деньги
work,работа
play,играть
